Breed_Country code,Breed name,Continent,Country,Long.,Lat.,N. ind. - raw,N. ind. - QC,N. ind. - WD,n. polym. loci,Ho,He,Fis
ABR_ET,Abergelle,Africa,Ethiopia,38.83,13.33,53,49,49,47216,0.3602,0.3652,0.0128
ALB_MW,Alpine x Boer,Africa,Malawi,35.13,-16.07,7,5,5,43600,0.4046,0.3851,-0.0582
ALP_CH,"Alpine
(Camosciata delle Alpi)",Europe,Switzerland,7.67,46.95,67,57,50,48350,0.3911,0.3926,0.0027
ALP_IT,"Alpine
(Camosciata delle Alpi)",Europe,Italy,9.25,44.94,160,113,50,48085,0.3985,0.4097,0.0242
ALP_FR,"Alpine
(Camosciata delle Alpi)",Europe,France,0.45,46.63,52,50,50,48704,0.4029,0.4129,0.0253
AND_MG,Androy,Africa,Madagascar,45.45,-25.31,7,6,6,40897,0.3174,0.3238,0.0217
ANG_MG,Angora,Worldwide,Madagascar,44.41,-24.04,7,7,7,42621,0.3496,0.3478,0.0008
ANG_AR,Angora,Worldwide,Argentina,-69.18,-46.3,332,217,50,47299,0.3847,0.3866,0.0258
ANG_FR,Angora,Worldwide,France,-1.23,46.38,26,26,26,46635,0.3454,0.3546,-0.0059
ANG_ZA,Angora,Worldwide,South Africa,25.02,-31.49,48,48,48,47158,0.3246,0.3396,0.0439
ANK_TR,Ankara,W Asia,Turkey,31.96,39.97,20,18,18,46897,0.384,0.3955,0.0283
ARG_IT,Argentata,Europe,Italy,15.13,38.02,25,24,24,48610,0.4083,0.4168,0.0206
ARR_IE,Traditional Arran,Europe,Ireland,-9.89,53.31,10,8,8,39279,0.2936,0.2977,0.0141
ASP_IT,Aspromontana,Europe,Italy,15.91,37.99,24,23,23,48471,0.3856,0.4102,0.0611
BAB_PK,Barbari,W Asia,Pakistan,72.48,30.3,17,16,16,38076,0.3048,0.2921,-0.0518
BAG_GB,Bagot,Europe,UK,-3.29,54.45,1,1,N.A.,N.A.,N.A.,N.A.,N.A.
BAR_MA,Barcha,Africa,Morocco,-7.17,31.09,4,4,4,43183,0.3811,0.3985,0.0502
BAW_MW,Balaka-Ulongwe,Africa,Malawi,34.87,-14.92,12,12,12,43621,0.3263,0.3356,0.0279
BEY_ES,Bermeya,Europe,Spain,-5.26,43.34,24,23,23,48202,0.3985,0.3999,0.0027
BEZ_IR,Bezoar,W Asia,Iran,48.07,37.06,7,7,7,42229,0.2669,0.3501,0.2513***
BIO_IT,Bionda dell'Adamello,Europe,Italy,10.36,46.03,24,24,24,48511,0.4002,0.409,0.0216
BLB_IE,Bilberry,Europe,Ireland,-7.13,52.25,10,10,10,41600,0.3308,0.3265,-0.0158
BOE_AU,Boer,Worldwide,Australia,151.83,-27.28,61,32,32,47077,0.3655,0.3619,-0.0106
BOE_US,Boer,Worldwide,USA,-100.16,31.19,34,29,29,47355,0.3528,0.3685,0.0054
BOE_TZ,Boer,Worldwide,Tanzania,38.12,-6.75,4,4,4,41799,0.3569,0.3835,-0.0142
BOE_NZ,Boer,Worldwide,New Zealand,173.43,-41.33,14,13,13,45572,0.3656,0.3607,0.0798
BOE_ZW,Boer,Worldwide,Zimbabwe,31.55,-18.19,25,17,17,45834,0.3808,0.3616,0.0439
BOE_UG,Boer,Worldwide,Uganda,32.75,0.33,5,5,5,44109,0.3832,0.3996,0.0422
BOE_CH,Boer,Worldwide,Switzerland,7.95,46.98,190,133,50,48124,0.3658,0.368,-0.0552
BOEx_MW,Admixed Boer,Africa,Malawi,35.16,-16.75,4,3,N.A.,N.A.,N.A.,N.A.,N.A.
BOEx_UG,Admixed Boer,Africa,Uganda,32.75,0.33,3,3,N.A.,N.A.,N.A.,N.A.,N.A.
BRI_PK,Bari,W Asia,Pakistan,68.86,26.08,35,25,25,44876,0.3048,0.3265,0.0659*
BRK_EG,Barki,Africa,Egypt,26.9,29.89,153,106,50,47465,0.393,0.4033,0.0212
BUR_BI,Burundi goat,Africa,Burundi,29.83,-2.91,72,66,50,47891,0.346,0.3539,0.0212
BUT_PK,Bugituri,W Asia,Pakistan,68.86,26.08,40,31,31,44446,0.3095,0.3236,0.0418
CAM_CM,Cameroon Goat,Africa,Cameroon,14.39,10.11,40,37,37,47513,0.3585,0.3665,0.0218
CAN_BR,Caninde',S America,Brazil,-40.34,-3.75,31,23,23,41674,0.3344,0.31,-0.0857*
CAS_AU,Cashmere,Oceania,Australia,152.57,-27.52,48,44,44,47283,0.3836,0.3757,-0.024
CCG_IT,Ciociara Grigia,Europe,Italy,13.82,41.61,19,16,16,48155,0.3821,0.4137,0.0783*
CHA_PK,Chappar,W Asia,Pakistan,68.86,26.08,10,9,9,44843,0.3593,0.3722,0.0358
CRE_AR,Creole,S America,Argentina,-65.25,-26.43,186,141,50,47101,0.3671,0.3987,0.0749***
CRO_UG,Local Cross,Africa,Uganda,31.02,-0.07,5,5,5,42968,0.3669,0.3727,0.0171
CRP_RO,Carpatian goat,Europe,Romania,25.78,46.12,14,14,14,48047,0.4068,0.4254,0.0447
CRS_FR,Corse,Europe,France,9,42.19,30,29,29,48506,0.385,0.407,0.0535
